部分,考试类型,问题类型,问答对,筛选后三元组,index,同类问题,不同问题,index
高考学考,秋考,志愿篇,问：考生在本科普通批次志愿录取结果中未查询到自己信息，是不是意味着退档或脱档？答：是的。考生分数达到本科普通批次录取控制分数线，可参与征求志愿录取。注：以上是2024年高考相关信息。,"['(高考学考-秋考-志愿篇, 属于, 2024年高考)', '(本科普通批次, 设有, 录取控制分数线)']",306,"['""若考生在本科普通批次录取结果中未查询到个人信息，是否表示已被退档或脱档？""', '""没查到本科录取结果=退档吗？""', '""如果考生达到本科线但在普通批次录取结果中未显示信息，是否意味着被退档或脱档？后续还能参加征求志愿吗？""', '""我本科批查不到录取结果，是不是被退档了啊？还能不能补报志愿？""']","['如果考生在本科普通批次录取结果中未被录取，是否还有后续的录取机会？', '未被本科普通批次志愿录取是否表示考生已退档？', '考生分数过线但未查到录取结果，接下来应该怎么做？']",306
高考学考,秋考,志愿篇,问：第一批未招满计划的征求志愿院校信息在哪里查询？答：请考生及时关注上海市教育考试院上海招考热线网站（www.shmeea.edu.cn）首页—高考学考—秋季高考栏目相关通知。注：以上是2023年高考相关信息。,[],307,"['如何查询第一批未完成招生计划的院校在征求志愿阶段的信息？', '征求志愿院校未招满信息查询途径？', '作为2023年高考生，若想了解第一批未招满计划的院校在征求志愿阶段的补录信息，应通过哪些官方渠道获取？', '哎，第一批志愿没招满的学校信息该去哪儿查啊？有没有官方通知啊？']","['如何查询2023年第一批征求志愿未招满的院校名单？', '上海考生在哪里能查到第一批未完成招生计划的征集志愿信息？', '2023年高考第一批未招满的院校征求志愿信息应通过什么途径获取？']",307
高考学考,秋考,志愿篇,问：本科录取控制分数线上未录取考生什么时候能够填报本科普通批次第一次、第二次征求志愿？什么时候能查询征求志愿的录取结果？答：请考生及时关注上海市教育考试院上海招考热线网站（www.shmeea.edu.cn）首页—高考学考—秋季高考栏目相关通知。注：2024年秋考第一次征求志愿填报时间在7月24日9:00至13:00。查询时间于7月25日起；2023年秋考第二次征求志愿填报时间在7月26日9:00至13:00。查询时间于7月27日起。,"['(上海教育考试院, 主办, 上海市教育考试院报名网站)', '(2024年秋考第一次征求志愿, 结果查询开始时间, 7月25日)', '(2023年秋考第二次征求志愿, 查询时间, 7月27日)', '(本科普通批次第一次征求志愿, 适用对象, 本科录取控制分数线上未录取考生)']",308,"['本科录取控制分数线上未被录取的考生填报本科普通批次第一次和第二次征求志愿的具体时间是什么？录取结果何时可以查询？', '征求志愿填报及结果查询时间？', '若考生达到本科录取控制分数线但未被录取，后续应如何安排填报本科普通批次的第一次和第二次征求志愿？具体的填报时间段和对应的录取结果查询时间分别是什么？是否需要关注特定平台的通知？', '哎，本科线过了但没被录的话，第一次和第二次征求志愿啥时候填啊？结果大概哪天能查得到？']","['本科普通批次第一次和第二次征求志愿的填报时间及录取结果查询的具体日期是什么？', '未被录取的考生应通过哪个渠道了解本科征求志愿的填报和录取结果查询时间？', '2024年秋考本科第一次征求志愿和第二次征求志愿的填报与查询分别安排在几月几日？']",308
高考学考,秋考,志愿篇,问：考生高考分数没有达到本科控制分数线是不是有降分录取机会？答：一般有降分。考试院会公布本科普通批次第二次征求志愿降分控制分数线、本科普通批次第二次征求志愿院校专业组缺额计划表以及降分控制线上可填报征求志愿考生高考成绩分布表。,"['(教育考试院, 公布, 本科普通批次第二次征求志愿降分控制分数线)', '(教育考试院, 公布, 本科普通批次第二次征求志愿院校专业组缺额计划表)', '(教育考试院, 公布, 降分控制线上可填报征求志愿考生高考成绩分布表)']",309,"['高考分数未达到本科控制分数线是否还有降分录取的可能性？', '没上本科线能降分录取吗？', '如果考生高考成绩低于本科批次控制分数线，是否仍有机会通过二次征求志愿或降分政策被本科院校录取？具体流程如何操作？', '哎，要是高考分数不够本科线，还能有降分录取这回事儿不？']","['高考分数低于本科线还能被本科院校降分录取吗？', '本科第二次征求志愿是否有降分政策？', '如何查询本科降分录取的缺额计划和分数线？']",309
高考学考,秋考,志愿篇,问：本科志愿录取工作结束了是不是可以填报专科志愿？答：专科志愿填报一般安排在本科阶段录取结束后。具体以上海招考热线公告信息为准。,"['(专科志愿填报, 依据, 上海招考热线公告信息)']",310,"['""请问在本科志愿录取工作结束后，是否就可以进行专科志愿的填报？""', '""本科录取结束能报专科吗？""', '""如果本科批次的志愿录取已经全部完成，接下来的流程是否包括开放专科志愿填报？时间和安排如何查询？""', '""哎，本科录完了是不是就能填专科志愿啦？得看哪儿的通知啊？""']","['专科志愿的填报时间是在本科录取之后吗？', '填报专科志愿需要等到本科录取完全结束吗？', '如何查询上海专科志愿填报的具体安排？']",310
高考学考,秋考,志愿篇,问：专科录取批次有哪些？答：专科艺体批次、专科提前批次和专科普通批次。,"['(专科录取批次, 包含, 专科艺体类批次)', '(专科录取批次, 包含, 专科提前批次)', '(专科录取批次, 包含, 专科普通批次)']",311,"['""专科录取批次具体包括哪些类别？""', '""专科批次有哪些？""', '""在专科院校的招生录取过程中，具体的录取批次是如何划分的？能否逐一说明每个批次的特点和区别？""', '""专科录取都有哪些批次啊？能简单列一下吗？""']","['专科的录取批次分为哪几种类型？', '专科招生包含哪些批次？', '专科录取被划分为哪几个阶段？']",311
高考学考,秋考,志愿篇,"问：专科各批次能填多少个志愿？答：专科各批次志愿数量如下：（1）专科提前批次设置2个顺序方式的院校志愿。
	（2）专科艺体类批次设置8个平行方式的类别志愿。
	（3）专科普通批次设置8个平行方式的院校志愿。","['(专科提前批次, 设置, 2个顺序方式的院校志愿)', '(专科艺体类批次, 设置, 8个平行方式的类别志愿)', '(专科普通批次, 设置, 8个平行方式的院校志愿)']",312,"['""专科各批次可以填报多少个志愿？请说明具体设置。""', '""专科各批次志愿数量？""', '""在专科招生中，各批次分别允许填报多少个志愿？包括提前批、艺体类和普通批的具体情况是怎样的？""', '""专科填志愿的话，每个批次能报几个啊？提前批和普通批一样吗？""']","['专科各批次分别可以填报几个志愿？', '专科提前批、艺体类批次和普通批次的志愿数量各是多少？', '不同专科批次的志愿设置数量分别是多少？']",312
高考学考,秋考,志愿篇,问：专科批次中每个院校的专业组内可以填报多少个专业？答：专科阶段，考生在一个院校志愿内最多可选择填报6个专业志愿。若该院校下设的专业数不足6个，考生可按实际选择，填完即止。如果考生在某个院校志愿中喜欢的专业数超过6个，不能直接反映在志愿表中，只能填报依自己喜欢程度排序前6位的专业，其他专业的选择意愿可以通过“愿否专业调剂”的选项表达。,"['(院校志愿, 最多可填报, 6个专业)', '(院校志愿下的专业数, 少于, 6)', '(志愿表, 限制为, 依自己喜欢程度排序前6位的专业)', '(是否服从专业调剂, 用于表达, 其他专业的选择意愿)']",313,"['专科批次中每个院校的专业组内最多允许填报多少个专业志愿？', '专科每个院校专业组能报几个专业？', '在专科批次的志愿填报中，每个院校的专业组内可以填报的专业志愿数量上限是多少？如果该院校的专业数量不足或超过此限制，考生应如何操作？', '专科志愿里，一个学校专业组最多能填几个专业啊？要是喜欢的专业超过6个咋办？']","['""专科志愿每个院校最多能填几个专业？""', '""如果我想报的专科专业超过6个怎么办？""', '""愿否专业调剂的选项在专科志愿填报中有什么作用？""']",313
高考学考,秋考,志愿篇,问：本科批次未被录取的考生填报专科志愿时，与直接报考专科志愿的考生有什么区别吗？答：没有区别，报考专科志愿录取分数以考生高考的语文、数学、外语的总分（如有政策性照顾加分，计入总分内），不再计算考生自选的3门学业水平等级考试的分数。,"['(政策性照顾加分, 计入, 总分)', '(专科志愿, 不再计算, 自选的3门学业水平等级考试的分数)']",314,"['本科批次未被录取的考生在填报专科志愿时，其录取标准与直接报考专科志愿的考生是否存在差异？', '本科未录考生报专科和直接报专科录取有区别吗？', '如果考生在本科批次未被录取，后续填报专科志愿时，他们的录取分数计算方式是否与直接报考专科的考生不同？具体政策是如何规定的？', '哎，本科没考上再报专科的话，和那些一开始就报专科的人分数算法一样吗？会不会少算几科啊？']","['本科未被录取的考生和直接报考专科的考生在专科志愿录取时会被区别对待吗？', '填报专科志愿时，录取分数是按哪些科目计算的？', '考生报考专科院校时，学业水平等级考试的分数是否会影响录取分数？']",314
高考学考,秋考,志愿篇,问：专科提前批次的高校有哪些？答：具体见《20XX年上海市普通高等学校招生专业目录》中专科提前批次信息。,"['(20XX年上海市普通高等学校招生专业目录, 包含, 专科提前批次信息)']",315,"['""请问专科提前批次包含哪些高校？具体信息应参考什么资料？""', '""专科提前批高校名单？""', '""上海市20XX年专科提前批次招生的高校有哪些？这些信息需要查阅哪份官方文件？""', '""哎，专科提前批都有哪些学校啊？得看哪个文件来着？""']","['上海专科提前批次的学校名单在哪里能查到？', '如何查询上海市专科提前批次招生的院校？', '上海市专科提前批的招生院校信息在哪个官方资料里？']",315
高考学考,秋考,志愿篇,问：填报专科提前批次是否要参加学校的面试或校测？答：具体见《20XX年上海市普通高等学校招生专业目录》中专科提前批次院校专业招生要求，或登录至高校网站内查看《招生简章》。,[],316,"['填报专科提前批次是否需要参与报考院校的面试或校测？', '专科提前批报考需面试或校测吗？', '在填报专科提前批次志愿时，考生是否需要根据院校要求参加面试或校测？具体流程如何查询？', '“报专科提前批的话，得去学校面试或者考试不？怎么查要求啊？”']","['如何查询专科提前批次是否需要面试或校测？', '专科提前批次的校测信息应该去哪里查找？', '哪里能查到专科提前批次院校的招生面试要求？']",316
高考学考,秋考,志愿篇,问：什么时候能查询到专科提前批次、专科艺体批、专科普通批次录取结果？答：具体以“上海招考热线”网站公告为准。,"['(专科艺体类批次, 属于, 秋考)']",317,"['请问专科提前批次、专科艺体批及专科普通批次的录取结果查询时间是如何安排的？', '专科各批次录取结果何时可查？', '作为考生，想了解专科提前批次、艺体类专科批次以及普通专科批次的录取结果查询时间节点和具体公告渠道，是否有官方确认的日期？', '哎，专科提前批和艺体批那些录取结果到底啥时候能查到啊？有人知道吗？']","['哪里可以查到专科提前批次、艺体批和普通批次的录取结果时间？', '如何确定专科各批次录取结果的查询日期？', '专科批次录取结果的查询时间以哪个渠道发布的信息为准？']",317
高考学考,秋考,志愿篇,问：未被专科提前批次录取，还会有专科提前批次的征求志愿吗？答：有的。,"['(专科提前批次, 有, 征求志愿)']",318,"['""未被专科提前批次录取的考生是否还有机会参加该批次的征求志愿？""', '""专科提前批没录取还有征求志愿吗？""', '""如果考生在专科提前批次中未被录取，后续是否还会有该批次的征求志愿机会？请说明相关情况。""', '""哎，我提前批专科没录上，之后还能报征求志愿不？""']","['如果专科提前批次没被录取，还能参加该批次的征求志愿吗？', '专科提前批次没被录取的情况下，还有补报的机会吗？', '未被专科提前批次录取的学生是否还有机会参加征求志愿？']",318
高考学考,秋考,志愿篇,问：填报了专科提前批次志愿是否可以同时填报专科艺体批次志愿？答：不可以，虽然志愿在同一张表单内，但两者不可兼报。,"['(专科提前批次志愿, 不可兼报, 专科艺体类志愿)']",319,"['""填报专科提前批次志愿后，能否同时填报专科艺体批次志愿？""', '""专科提前批和艺体批可同时报吗？""', '""在高考志愿填报时，如果考生已经填报了专科提前批次的志愿，是否还允许在同一阶段继续填报专科艺体类批次的志愿？两者是否存在冲突？""', '""哎，如果我填了专科提前批的志愿，还能不能接着填艺体批的啊？会不会冲突？""']","['专科提前批次和艺体批次志愿能一起填报吗？', '如果填了专科提前批，还能报艺体专科吗？', '同一张志愿表里能同时选专科提前批和艺体批吗？']",319
高考学考,秋考,志愿篇,问：考生填报专科艺体类批次的志愿填报是否需要参加专业统考？答：可根据《2024年上海市普通高等学校招生专业目录》招生信息或院校网站《招生简章》中的要求，参加艺体类统考或者校考。如没有参与艺体类统考或校考，无法填报专科艺体类志愿。,"['(专科艺体类志愿, 需要参加, 艺体类统考或校考)', '(专科艺体类志愿填报, 需要参加, 艺体类统考或校考)']",320,"['报考专科艺体类批次的考生是否需要参加专业统考或校考才能填报志愿？', '专科艺体类志愿填报必须参加统考吗？', '如果考生想填报2024年上海市专科艺体类批次的志愿，但未参加艺体类统考或校考，是否符合填报资格？相关政策依据是什么？', '哎，我没参加艺体统考的话，还能报专科艺体类的志愿不？']","['填报专科艺体类志愿是否必须参加专业统考？', '没有参加艺体类统考或校考的考生能否填报专科艺体类批次志愿？', '报考专科艺体类批次需要满足哪些考试要求？']",320
高考学考,秋考,志愿篇,问：专科艺体类考生同分如何决定顺序？答：专科艺体类批次同分考生按以下位序排序：第1位序，比较专业统考成绩，高者优先。第2位序，第1位序同分者中，比较语文加数学两门合计成绩高低，高者优先。第3位序，第2位序同分者中，比较语文或数学中单科成绩高低，高者优先。第4位序，第3位序同分者中，比较考生志愿顺序，按各自顺序分别投档。志愿顺序相同的同分同位考生同时投档。,"['(专科艺体类批次, 第1位序排序依据, 专业统考成绩)', '(专科艺体类批次, 第三位序依据, 语文或数学中单科成绩)', '(专科艺体类批次, 同分排序第四位序依据, 考生填报的志愿先后顺序)']",321,"['专科艺体类考生同分时如何确定录取顺序？', '专科艺体类同分录取规则？', '在专科艺体类批次中，如果考生总分相同，具体的录取排序规则是怎样的？包括各比较项及其优先级。', '要是专科艺体类的考生分数一样，学校是怎么排先后的呀？']","['专科艺体类同分考生的排序规则是什么？', '艺体类专科考生在分数相同时如何确定录取顺序？', '专科艺体类批次中，同分考生如何按位次投档？']",321
高考学考,秋考,志愿篇,问：专科普通批次投档时，高考总分相同的考生该如何排序？答：专科普通批次同分考生按以下位序排序：第1位序，比较语文加数学两门合计成绩高低，高者优先。第2位序，第1位序同分者中，比较语文或数学中单科成绩高低，高者优先。第3位序，第2位序同分者中，比较考生志愿顺序，按各自顺序分别投档。志愿顺序相同的同分同位考生同时投档。,"['(专科普通批次同分排序第1位序, 排序依据, 语文加数学两门合计成绩)', '(第2位序, 比较依据, 语文或数学中单科成绩)', '(第3位序, 比较依据, 考生填报的志愿先后顺序)', '(第1位序, 后续顺序为, 第2位序)', '(考生填报的志愿先后顺序, 排序依据, 投档顺序)', '(志愿顺序相同的同分同位考生, 处理方式, 同时投档)']",322,"['专科普通批次投档时，高考总分相同的考生排序规则是什么？', '专科录取同分考生如何排序？', '在专科普通批次投档过程中，如果多名考生的高考总分完全相同，会按照哪些具体步骤和标准来决定他们的投档顺序？', '专科录取要是碰上高考分数一样的考生，学校到底咋分先后啊？先比哪科成绩？']","['专科普通批次投档中，如果考生总分相同，会按照什么顺序进行比较？', '同分考生在专科普通批次录取时的优先级是如何确定的？', '当考生总分相同时，专科批次的投档顺序是怎样的？']",322
高考学考,秋考,志愿篇,问：专科各批次录取名单中未查询到录取结果，是否有征求志愿？答：考试院会公布专科批次征求志愿录取控制分数线，同时公布招生院校缺额计划表及线上未录取考生成绩分布（含艺体类招生院校）。,"['(教育考试院, 公布, 专科批次征求志愿录取控制分数线)', '(教育考试院, 公布, 招生院校缺额计划表)', '(教育考试院, 公布, 线上未录取考生成绩分布)', '(专科批次征求志愿录取控制分数线, 划定, 征求志愿资格)', '(征求志愿, 属于, 专科录取批次)']",323,"['""在专科各批次录取名单中未查询到录取结果的情况下，是否还存在征求志愿的机会？""', '""专科未录取，还能填征求志愿吗？""', '""如果考生在专科各批次录取结束后仍未查到自己的录取结果，是否有机会通过征求志愿补录？具体流程和条件如何？""', '""专科录取结果查不到，是不是还能报征求志愿啊？""']","['专科批次征求志愿的相关信息（如分数线、缺额计划等）如何获取？', '考试院针对专科未录取考生会公布哪些具体数据？', '填报专科征求志愿时，考生需要参考哪些官方发布的资料？']",323
高考学考,秋考,志愿篇,问：什么时候可以填报专科批次的征求志愿？答：8月3日9：00-13：00，考生登录“上海招考热线”网站（www.shmeea.edu.cn）首页—志愿填报，填报专科批次征求志愿（含艺体类批次）。注：以上是2024年高考相关信息。,"['(专科批次征求志愿, 包含, 艺体类批次)', '(上海招考热线网站, 提供平台用于填报, 专科批次征求志愿)', '(秋考, 包含, 志愿篇)']",324,"['专科批次征求志愿的具体填报时间及方式是什么？', '专科征求志愿填报时间？', '2024年高考专科批次征求志愿的填报时间段是哪天？考生需要登录哪个网站进行操作？', '专科征求志愿哪天能填啊？是几点到几点？']","['2024年上海专科批次征求志愿的填报时间段是什么时候？', '艺体类考生填报专科征求志愿的截止时间是什么时候？', '考生应通过哪个网站填报专科批次的征求志愿，具体时间如何安排？']",324
高考学考,秋考,志愿篇,问：专科批次的征求志愿有降分吗？答：没有降分。,"['(专科批次征求志愿, 降分政策, 无)']",325,"['""专科批次的征求志愿是否存在降分录取的情况？""', '""专科征求志愿降分吗？""', '""在专科批次录取过程中，如果填报了征求志愿，学校是否会降低分数线进行录取？能否具体说明相关政策和实施情况？""', '""哎，专科的征求志愿会不会降分啊？有人知道吗？""']","['高职专科批次的征集志愿会降低分数线吗？', '专科补录志愿填报时是否有降分政策？', '专科批次的第二次征求志愿录取时分数会下调吗？']",325
高考学考,春考,录取结果后相关事件篇,问：录取过程中如有遇到录取规则的询问？答：录取相关工作由高校执行。根据相关规定，各高校的招生简章内必须说明录取规则。,"['(院校招生简章, 说明, 录取规则)']",326,"['如何咨询高校录取规则的相关问题？', '录取规则问题找谁？', '在高校录取过程中，如果对录取规则有疑问，应该向哪个部门或渠道咨询？相关规定如何明确高校的责任？', '录取规则搞不明白的话，该问哪儿啊？']","['高校的录取规则应通过什么渠道查询？', '哪类文件明确规定了高校的录取规则？', '招生简章中必须包含哪些与录取相关的内容？']",326
高考学考,春考,录取结果后相关事件篇,"问：2023年被部分外省市普通高校录取的本市常住户口考生申领一次性经济补贴的条件？答：请确认考生是在高考报名时是上海本市户口，录取志愿是普通批次（艺体批、提前批、综评批、强基批、特殊类型批均没有补贴），高校已生成考生学籍并更新学信网信息。报考高校在名单内（https://mp.weixin.qq.com/s/9wIgiuvhHKq7WjmIn6uTYw）。
	注：2024年起无相关补贴",[],327,"['2023年上海户籍考生被部分外省市普通高校录取后，申请一次性经济补贴需满足哪些具体条件？', '2023年上海考生申领外地高校补贴的条件？', '2023年本市户籍考生若被外省市普通高校录取，需满足哪些要求才能申领一次性经济补贴？包括户籍状态、录取批次、学籍信息更新情况以及高校是否在指定名单内？', '哎，上海户口的学生如果被外地普通大学录取了，2023年能领那个补贴吗？得符合啥条件啊？']","['上海户籍考生被外省市普通高校录取后，需要满足哪些条件才能申请2023年的经济补贴？', '哪些录取批次的考生无法获得2023年上海外省市高校经济补贴？', '2024年之后还能申请外省市普通高校录取的一次性经济补贴吗？']",327
高考学考,春考,录取结果后相关事件篇,问：一次性经济补贴办理时限？答：2023年10月8日至12月31日期间登录“一网通办”网站（https://zwdtuser.sh.gov.cn/）或“随申办市民云”APP，搜索关键字“一次性经济补贴”找到补贴申请链接，登入补贴申请平台并填写相关申请信息（注：申请信息中的银行卡必须使用上海开户的本人名下借记卡）。逾期未办理登记，视同自动放弃，考试院将不再受理。,"['(一次性经济补贴, 申请期限, 2023年10月8日至12月31日)', '(一次性经济补贴, 申请途径, 随申办市民云)', '(一次性经济补贴, 申请所需银行卡, 上海开户的本人名下借记卡)', '(教育考试院, 受理机构, 一次性经济补贴申请)']",328,"['一次性经济补贴的申请时间范围是什么？', '一次性经济补贴办理截止时间？', '2023年申请一次性经济补贴的具体时间段是多久？需要哪些材料，如何通过线上平台提交申请？', '哎，那个一次性补贴申请啥时候结束啊？必须用上海的银行卡吗？']","['一次性经济补贴的申请时间范围是什么？', '通过哪些渠道可以申请一次性经济补贴？', '申请一次性经济补贴需要准备哪种类型的银行卡？']",328
高考学考,春考,录取结果后相关事件篇,问：录取工作结束后，考生如何将自己的纸质档案移交至高校？答：2023年录取考生原则上于8月27日前办理纸质档案转递手续，具体办理时间以各区招考机构公布为准。,[],329,"['录取工作结束后，考生应如何办理纸质档案的转递手续？具体时间安排是怎样的？', '考生纸质档案转高校的流程和时间？', '2023年高校录取结束后，考生需要将自己的纸质档案移交给被录取的院校，请问具体的办理流程是什么？是否有明确的截止日期？各区招考机构的时间安排会统一吗？', '录取完事儿了，档案该咋交给学校啊？最晚啥时候得弄完？']","['2023年录取考生的纸质档案转递手续办理截止日期是什么时候？', '如何查询纸质档案转递至高校的具体办理时间？', '考生需在何时完成向高校移交纸质档案的手续？']",329
高考学考,春考,录取结果后相关事件篇,问：纸质档案的转递手续？答：考生凭高校录取通知书、本人身份证和准考证到报名所在区招考机构或毕业学校办理纸质档案的提取或转递手续（非本市应届高中毕业生到区招考机构，本市学籍应届生到毕业学校）。考生毕业学校经核对无误，并经考生本人签字确认后，将密封好的纸质档案交与考生（仅限本市学籍应届生），由考生本人将纸质档案在规定时间交至录取高校；非本市应届高中毕业生凭区招考机构开具的调档证明至各区公共就业服务机构办理纸质档案的转递手续。纸质档案属个人重要资料，不得擅自启封、拆阅。,"['(本市学籍应届生, 办理手续地点, 毕业学校)', '(毕业学校, 移交, 考生本人)', '(区考试招生机构, 开具, 调档证明)', '(非本市应届高中阶段毕业生, 办理纸质档案转递手续, 各区公共就业服务机构)', '(纸质档案, 属于, 个人重要资料)', '(纸质档案, 禁止, 擅自启封)', '(纸质档案, 不得擅自, 拆阅)']",330,"['""如何办理纸质档案的转递手续？具体流程和所需材料是什么？""', '""转递纸质档案需要什么手续？""', '""不同考生（本市应届生、非本市应届生等）办理纸质档案转递的流程有何差异？需要携带哪些材料？具体操作步骤是什么？""', '""办纸质档案转递该去哪儿啊？要带啥材料？具体咋操作？""']","['办理纸质档案转递需要携带哪些材料？', '本市应届高中毕业生应去哪里领取纸质档案？', '纸质档案转递后能否自行拆封？']",330
高考学考,春考,录取结果后相关事件篇,问：复读生的档案如何处理？答：纸质档案包含考生高中毕业班学生登记表、体育合格材料、社会实践表、入团志愿表、体格检查表、高考报名登记表、思想政治品德考查表、高考志愿表、加分证明、资格审核相关材料等个人重要信息。考生不得擅自启封、拆阅纸质档案。考生毕业的中学一般会将未领取的考生档案退还到考生户口所在地的区招考机构，再转送到考生户籍所在区的公共就业服务机构。不过，各区情况有所不同，具体情况请考生向当年报考所在的区招考机构了解。,"['(纸质档案, 包含, 高中毕业班学生登记表)', '(纸质档案, 包含, 体育合格材料)', '(纸质档案, 包含, 社会实践表)', '(纸质档案, 包含, 入团志愿表)', '(纸质档案, 包含, 体格检查表)', '(纸质档案, 包含, 高考报名登记表)', '(纸质档案, 包含, 思想政治品德考查表)', '(纸质档案, 包含, 高考志愿表)', '(纸质档案, 包含, 加分证明)', '(纸质档案, 包含, 资格审核相关材料)', '(中学, 退还档案到, 区考试招生机构)', '(区考试招生机构, 转送到, 公共就业服务机构)', '(考生, 应咨询, 区考试招生机构)', '(考生户口所在地, 所属, 区考试招生机构)']",331,"['复读生的档案应如何正确处理？具体流程和注意事项有哪些？', '复读生档案处理方式？', '复读生的纸质档案包含哪些材料？未被领取的档案会由学校转交到哪里？不同地区的处理流程是否一致？', '复读生的档案该怎么处理啊？自己拆开看行不行？没拿的档案最后会去哪？']","['复读生的纸质档案中包含哪些重要材料？', '未领取的复读生档案会被转移到哪里？', '复读生可以自行拆封个人档案吗？']",331
高考学考,春考,录取结果后相关事件篇,问：如何申请高考发票？答：请考生在高考考试缴费完成的3个月后，用考生自己的账号在“随申办”下载打印报名费发票。,"['(高考报名费发票, 可下载时间, 缴费完成后3个月后)', '(高考报名费发票, 下载平台, 随申办)', '(高考考试缴费, 下载打印, 报名费发票)']",332,"['申请高考报名费发票的具体流程是什么？', '高考发票如何申请？', '高考缴费完成后，如何获取报名费发票？是否有时间限制？需要哪些步骤和平台操作？', '高考交完报名费之后，发票咋领啊？听说要等几个月才能弄？']","['高考缴费后多久可以下载报名费发票？', '通过哪个平台可以获取高考报名费的电子发票？', '考生本人如何打印高考缴费的发票？']",332
高考学考,春考,录取结果后相关事件篇,问：去高校报到时，学校新生系统照片比对不通过，怎么办？答：请考生联系所在院校，让学校负责老师联系上海教育考试院的招生办。,"['(所在院校, 联系, 上海教育考试院招生办)', '(上海教育考试院, 下设, 招生办)']",333,"['高校报到时新生系统照片比对未通过，应如何解决？', '新生照片比对失败如何处理？', '在高校报到过程中，上传至新生系统的照片因不符合要求导致比对失败，需要联系哪些部门或人员协助解决？具体流程是什么？', '去大学报到的时候，系统说照片对不上，该找谁帮忙啊？']","['新生入学时照片审核未通过，应该联系哪里处理？', '高校新生注册系统提示照片比对失败，需要如何解决？', '入学照片在系统验证中不匹配，应该联系哪个部门协助？']",333
高考学考,春考,录取结果后相关事件篇,问：各区招考机构地址及电话？答：以下是2024年信息：,[],334,"['""请问能否提供2024年各区招考机构的地址及联系方式？""', '""各区招考机构地址电话2024？""', '""我需要查找2024年各区招考机构的具体办公地址和联系电话，能否提供相关信息？""', '""哎，你知道哪里能查到今年各区招考机构的地址和电话吗？""']","['2024年各区招考机构的联系方式如何获取？', '哪里能查到今年各区招考机构的办公地址和电话？', '能否提供各区招考机构最新的地址及联系电话？']",334
高考学考,春考,报名篇,问：春考是高考吗？答：本市普通高校考试招生包括春季考试招生、专科层次依法自主招生（简称“专科自主招生”）、招收中等职业学校应届毕业生考试（简称“三校生高考”）和秋季统一高考招生等。,"['(普通高校招生, 包括, 春季考试招生)', '(普通高校招生, 包括, 专科自主招生)', '(本市普通高校考试招生, 包括, 三校生高考)', '(普通高校招生, 包括, 秋季统一高考招生)', '(专科自主招生, 简称, 专科自主招生)', '(春考, 全称, 春季考试招生)']",335,"['""春季考试是否属于高考招生体系的一部分？""', '""春考是高考吗？""', '""春季考试与普通高考有何关联？高考具体包含哪些招生类型？""', '""春考到底算不算高考啊？我有点懵，能解释下不？""']","['本市普通高校考试招生有哪些类型？', '春季考试是否属于普通高校招生方式之一？', '除了秋季统一高考，上海还有哪些高校招生形式？']",335
高考学考,春考,报名篇,问：考生今年高三怎么报名参加当年春考？（在校考生如何报名参加当年春考？）答：本市学籍应届高中阶段毕业生由学籍所在学校集中组织网上报名。请考生/家长主动联系学校。,"['(考生, 报名参加, 春考)', '(本市学籍应届高中阶段毕业生, 属于, 在籍在校考生)', '(学籍所在学校, 组织, 网上报名)']",336,"['在校高三学生如何报名参加当年的春季高考？', '高三生如何报春考？', '作为本市在校高三学生，若想参加今年的春季高考，具体的报名流程是什么？是否需要通过学校统一操作？', '哎，我今年高三，想参加春考的话该咋报名啊？是不是得找学校帮忙弄？']","['应届高中毕业生如何通过学校进行春考网上报名？', '高三在校生的春考报名需要自己单独操作吗？', '本市应届生的春考报名由哪个机构统一组织？']",336
高考学考,春考,报名篇,"问：考生是复读生，怎么报名参加当年春考？（往届生、返沪生、社会生如何报名？）答：非本市应届高中阶段毕业生（往届生、非本市学籍应届生等）自主登录网站进行报名，按不同类别选择报考所在区：本市户籍外省市就读考生、本市户籍往届生选择户籍所在区；
    本市户籍外省市就读考生、本市户籍往届生选择户籍所在区；
	在职职工选择单位所在区；
	非本市户籍考生选择持有的《上海市居住证》所属区。","['(非本市应届高中阶段毕业生, 包含, 往届生)', '(非本市应届高中阶段毕业生, 包含, 非本市学籍应届生)', '(非本市应届高中阶段毕业生, 报名方式, 自主登录网站)', '(本市户籍外省市就读考生, 选择, 户口所在区)', '(本市户籍往届生, 选择, 户口所在区)', '(在职职工, 报名所在区, 单位所在区)']",337,"['往届生、返沪生及社会考生应如何正确报名参加当年的春季高考？', '往届生等如何报名春考？', '作为非本市应届高中毕业生（如往届生、返沪生、社会考生等），报名上海市春季高考的具体流程是什么？不同户籍和居住情况的考生应如何选择对应的报考区域？', '哎，我去年毕业的，今年想报春考该咋弄啊？听说还要看户籍和居住证选报考区？']","['非本市应届高中毕业生参加春考时如何确定报考区域？', '上海春考报名中，不同户籍类型的考生应如何选择报考所在区？', '往届生和在职人员在春考报名时怎样选择对应的报考区？']",337
