问题,来源,考试类型
高校的录取线是如何产生的？,207,['高考学考_秋考']
各专业的最低录取分数通常被称为什么？,207,['高考学考_秋考']
高校录取考生的最低分数是指什么？,207,['高考学考_秋考']
强基计划的目标是培养哪些领域的学生？,208,[]
哪些关键领域和专业属于强基计划的覆盖范围？,208,[]
强基计划主要针对哪些学科进行人才选拔？,208,['高考学考_秋考']
强基计划试点的“一流大学”建设高校共有多少所？,209,['高考学考_秋考']
2023年在上海进行强基计划招生的高校有哪些？,209,['高考学考_秋考']
哪些一流大学被纳入强基计划试点名单？,209,['高考学考_秋考']
强基计划招生简章应该在哪里查看？,210,[]
强基计划一般会在每年的几月启动？,210,[]
哪里可以获取2024年强基计划的最新消息？,210,[]
强基计划报名是否被视为志愿填报？,211,[]
如果未被强基计划录取，还能填报后续批次的志愿吗？,211,['高考学考_秋考']
报考强基计划需要单独填报志愿吗？,211,['高考学考_秋考']
强基计划志愿填报完成后，下一步该做什么？,212,[]
如何确定强基计划校测的具体时间？,212,[]
入围强基计划后如何确认校测安排？,212,['高考学考_秋考']
强基计划校测的具体日期在哪里查询？,213,[]
如何确认强基计划校测的时间安排？,213,['高考学考_秋考']
各高校强基计划校测时间需要参考什么渠道？,213,[]
强基计划录取名单的公布时间是什么时候？,214,[]
如何查询强基计划是否被录取？,214,['高考学考_秋考']
强基计划的录取结果在哪里可以查到？,214,['高考学考_秋考']
强基计划的录取分数会对外公布吗？,215,[]
如何查询强基计划的录取分数？,215,['高考学考_秋考']
强基计划是否有最低录取分数要求？,215,['高考学考_秋考']
如果被强基计划录取，还能报考其他批次吗？,216,['高考学考_秋考']
强基录取后，后续的志愿是否还有效？,216,['高考学考_秋考']
被强基计划录取后是否还能选择其他大学志愿？,216,['高考学考_秋考']
上海考生可以报考哪些香港地区的本科自费生高校？,217,['高考学考_秋考']
香港中文大学和香港城市大学在哪个批次录取上海考生？,217,['高考学考_秋考']
非提前批的香港高校如何申请报名？,217,['高考学考_其他考试—普通高校联合招收华侨港澳台考试']
被香港高校录取并确认就读后，内地高校的录取流程会怎样处理？,218,['高考学考_秋考']
哪些香港高校的招生属于本科提前批次？,218,['高考学考_秋考']
报考香港地区高校是否需要参加内地统一高考？,218,['高考学考_秋考']
已缴纳香港高校留位费但想参加内地统招，该如何处理？,219,['高考学考_秋考']
如何取消香港高校录取资格并保留内地高校录取机会？,219,"['高考学考_秋考', '高考学考_其他考试—普通高校联合招收华侨港澳台考试']"
收到香港录取后想同时申请内地高校，需要联系哪里？,219,['高考学考_其他考试—普通高校联合招收华侨港澳台考试']
放弃香港高校录取后，如何核实学校是否已将名单退回考试院？,220,['高考学考_其他考试—普通高校联合招收华侨港澳台考试']
若考生决定不就读香港高校，该如何确认其未录取信息已通知考试院？,220,['高考学考_其他考试—普通高校联合招收华侨港澳台考试']
香港高校处理考生放弃入学的流程是什么？是否需要主动联系学校？,220,['高考学考_其他考试—普通高校联合招收华侨港澳台考试']
如果强基计划确认和香港高校签约时间冲突，考生应当如何选择？,221,"['高考学考_秋考', '高考学考_其他考试—普通高校联合招收华侨港澳台考试']"
同时完成强基计划确认和香港高校签约操作会导致什么后果？,221,"['高考学考_秋考', '高考学考_其他考试—普通高校联合招收华侨港澳台考试']"
考生同时办理强基计划与香港高校的录取手续，最终录取结果由谁决定？,221,['高考学考_秋考']
被香港高校录取的学生需要准备哪些材料办理赴港手续？,222,[]
内地学生赴香港读书的出入境手续应在哪里办理？,222,[]
孩子被香港大学录取后，如何申请因私赴港的证件？,222,[]
内地学生在香港读书期间需要迁移户口到香港吗？,223,[]
被香港学校录取后，学生的内地户籍会被取消吗？,223,[]
赴港就读的学生是否必须将户口转移到香港？,223,[]
被澳门高校录取后是否还能选择内地高校注册报到？,224,[]
上海考生同时收到澳门和内地高校录取通知书时该如何处理？,224,['高考学考_秋考']
能否同时保留澳门和内地高校的录取资格并选择其中一所报到？,224,['高考学考_秋考']
被澳门高校录取后，学生需要准备哪些材料来办理赴澳手续？,225,['高考学考_秋考']
根据规定，赴澳门高校就读需要在哪里办理出入境手续？,225,[]
办理赴澳门高校的出入境手续依据的是哪些部门的规定？,225,[]
在澳门上学期间，内地学生的户口会被注销吗？,226,['中考中招_中考中招']
报考澳门高校成功后，是否需要将户口迁移到澳门？,226,[]
内地学生去澳门读书后，户籍还能保留在原籍地吗？,226,[]
综合评价批次的设立目的是什么？,227,['高考学考_秋考']
哪些学生适合报考本科综合评价批次？,227,['高考学考_秋考']
本科阶段哪个批次选拔全面发展的优秀学生？,227,['高考学考_秋考']
2023年综合评价批次招生的高校名单是什么？,228,['高考学考_秋考']
哪些院校在2023年的综评批次中开展招生？,228,['高考学考_秋考']
请列举2023年参与综评批次录取的大学。,228,['高考学考_秋考']
综合评价批次的招生流程包括哪些步骤？,229,['高考学考_秋考']
入围综合评价批次后，填报志愿需要满足什么条件？,229,['高考学考_秋考']
综合评价批次录取时高考成绩和校测成绩的占比如何？,229,['高考学考_秋考']
综合评价批次志愿填报的具体时间段是什么时候？,230,['高考学考_秋考']
非本市应届高中毕业生填报综评志愿由谁负责安排？,230,['高考学考_秋考']
2024年综合评价志愿填报的日期是哪两天？,230,['高考学考_秋考']
综评每个院校专业组最多能填多少个专业志愿？,231,['高考学考_秋考']
综合评价志愿的院校专业组填报数量上限是多少？,231,['高考学考_秋考']
在平行志愿模式下，综评考生可以填报多少个院校专业组？,231,['高考学考_秋考']
不参加综合评价批次的校测是否意味着失去录取资格？,232,['高考学考_秋考']
综合评价录取中校测是必须参加的吗？,232,['高考学考_秋考']
如果高考分数足够高，是否可以不参加校测仍被高校录取？,232,['高考学考_秋考']
如何查询综合评价批次院校的面试资格线？,233,['高考学考_秋考']
2024年高考综合评价招生中，考生需要通过什么途径了解面试安排？,233,['高考学考_秋考']
报考综合评价批次的考生应如何确认自己是否有面试资格？,233,['高考学考_秋考']
综合评价批次的院校校测时间如何确认？,234,['高考学考_秋考']
哪里可以查询到综评院校校测的具体安排？,234,['高考学考_秋考']
2024年高考综评批次的校测是否需要直接参考学校官网信息？,234,['高考学考_秋考']
在哪里可以查询到上海综合评价批次录取名单？,235,['高考学考_秋考']
如何查询上海综合评价批次院校的录取结果？,235,['高考学考_秋考']
上海综评录取名单由哪个机构公布，具体查询路径是什么？,235,['高考学考_秋考']
如何查询秋季高考各批次的录取结果？,236,['高考学考_秋考']
上海考生应通过什么途径查看秋考录取结果的通知？,236,['高考学考_秋考']
秋考录取结果的相关查询信息发布在哪个网站和栏目下？,236,['高考学考_秋考']
综合评价批次被录取后，后续填报的志愿是否还有效？,237,['高考学考_秋考']
如果放弃综合评价批次录取资格，还能参与其他志愿投档吗？,237,['高考学考_秋考']
被综合评价批次录取的考生，是否还能参加后续批次志愿的投档？,237,['高考学考_秋考']
零志愿批次中有哪两所高校参与招生？,238,['高考学考_秋考']
零志愿批次的招生计划包含哪些类型？,238,['高考学考_秋考']
特殊类型招生在零志愿批次中是否涉及？,238,['高考学考_秋考']
2024年本科阶段的零志愿批次和其他批次的填报时间是什么时候？,239,['高考学考_秋考']
7月1日到2日可以填报哪些高考志愿批次？,239,['高考学考_秋考']
上海高考的提前批次和零志愿批次填报时间是在哪两天？,239,['高考学考_秋考']
报考零志愿批次院校需要参加校测或面试吗？,240,['高考学考_秋考']
如何查询零志愿批次院校的面试安排？,240,['高考学考_秋考']
零志愿批次招生是否包含学校自主测试环节？,240,['高考学考_秋考']
如何查询零志愿批次的录取结果？,241,['高考学考_秋考']
上海零志愿录取信息应该在哪里查看？,241,['中考中招_中考中招']
零志愿批次的录取结果可以通过什么途径查？,241,['高考学考_秋考']
被零志愿录取后，后续的志愿还能继续生效吗？,242,['高考学考_秋考']
零志愿录取后是否还能参加其他批次的录取？,242,['中考中招_中考中招']
如果接受了零志愿录取结果，能否再拒绝并选择后续志愿？,242,['中考中招_中考中招']
往届生是否有资格报考提前批院校？,243,['高考学考_秋考']
提前批志愿填报对往届生有特殊限制吗？,243,['高考学考_秋考']
往届生填报提前批需要满足什么条件？,243,['高考学考_秋考']
上海市本科提前批次的招生范围包含哪些院校或专业类型？,244,['高考学考_秋考']
本市提前批录取的院校专业主要涉及哪些领域或项目？,244,['高考学考_秋考']
哪些招生类别会被安排在上海市本科提前批次进行？,244,['高考学考_秋考']
上海考生报考军队院校需要完成哪些必要步骤？,245,['高考学考_秋考']
军队院校招生的政治考核由什么机构组织实施？,245,['高考学考_秋考']
如何在上海进行军队院校的报考意向登记？,245,['高考学考_秋考']
申请军队院校需要满足哪些基本资格？,246,['高考学考_秋考']
军校招生对年龄和婚姻状况有什么具体要求？,246,['高考学考_秋考']
报考军校需要通过哪些考核和测试？,246,['高考学考_秋考']
"""上海军队院校的招生信息如何获取？""",247,['高考学考_秋考']
"""军队院校的招生计划何时会公布？""",247,['高考学考_秋考']
"""最新的军队院校招生目录发布渠道是什么？""",247,['高考学考_秋考']
报考军队院校的流程包括哪些环节？,248,['高考学考_秋考']
参加军队院校招生录取需要满足哪些必要条件？,248,['高考学考_秋考']
军队院校招生中考生需完成哪些项目才能获得录取资格？,248,['高考学考_秋考']
上海军队院校报考意向登记的时间段和渠道是什么？,249,['高考学考_秋考']
2024年军队院校报考意向填报的预计开始时间是哪天？,249,['高考学考_秋考']
如何查询上海军队院校报考意向登记的具体安排？,249,['高考学考_秋考']
军队院校招生的政治考核申请截止日期是什么时候？,250,['高考学考_秋考']
考生应在什么时间段内领取并提交《政治考核表》？,250,['高考学考_秋考']
2023年报考军队院校的学生需要在何时完成政治考核材料填写？,250,['高考学考_秋考']
军队院校政治考核结果会在什么时间通知考生？,251,[]
哪个部门负责最终通知考生政治考核的结果？,251,[]
2023年军队院校招生的政治考核流程中，学校提交材料后下一步是什么？,251,['高考学考_秋考']
上海军校招生体检和面试的日程查询渠道是什么？,252,['高考学考_秋考']
如何得知上海地区军队院校招生的面试启动时间？,252,['高考学考_秋考']
上海军校招生体检安排的最新信息在哪里公布？,252,[]
上海市军队院校招生办的咨询电话是多少？服务时间是什么时候？,253,['高考学考_秋考']
2023年上海军校招生办公室的联系电话和办公时间能提供一下吗？,253,['高考学考_秋考']
如何在工作时间联系上海市军队院校招生办？电话号码是什么？,253,['高考学考_秋考']
报考上海军队院校的考生是否需要填报提前批志愿？具体时间是什么时候？,254,['高考学考_秋考']
2024年填报军队院校志愿的截止日期和流程是怎样的？,254,['高考学考_秋考']
考生提交材料后，是否还需要在特定时间段内完成志愿填报才能被军队院校录取？,254,['高考学考_秋考']
军队院校的录取结果会对外公开吗？,255,['高考学考_秋考']
报考军队院校的考生何时能查询到自己的录取状态？,255,['高考学考_秋考']
被军队院校录取的学生名单会在哪些平台发布？,255,['高考学考_秋考']
如何查询上海军队院校的录取结果？,256,['高考学考_秋考']
上海招考热线网站能查军队院校录取信息吗？,256,['高考学考_秋考']
军队院校录取结果的查询步骤是什么？,256,['高考学考_秋考']
上海考生报考公安院校的流程是怎样的？,257,['高考学考_秋考']
报考公安院校需要满足哪些条件？,257,['高考学考_秋考']
在哪个网站进行公安院校的意向登记？,257,['高考学考_秋考']
2023年报考公安院校的年龄上限是多少岁？,258,['高考学考_秋考']
往届毕业生可以报名公安院校吗？,258,['高考学考_秋考']
公安院校是否允许已婚考生报考？,258,[]
上海公安院校的招生信息应该在哪里查看？,259,['高考学考_秋考']
2024年公安院校的招生计划何时能查询？,259,['高考学考_秋考']
如何获取上海公安院校的最新招生通知？,259,['高考学考_秋考']
上海公安院校面试和体能测评的具体时间安排是什么时候？,260,[]
已完成公安类院校报考登记的考生需何时何地参加体能测评？,260,['高考学考_秋考']
如何查询2024年上海公安学院招生面试及体能测评的最新通知？,260,['高考学考_秋考']
报考公安院校的考生体检安排在什么时间段？,261,['高考学考_秋考']
2024年公安院校招生体检的具体日期是什么时候？,261,['高考学考_秋考']
如何获取上海公安学院招生体检的最新通知？,261,['高考学考_秋考']
2024年高考中，若考生已通过公安院校的面试、体测和体检，且分数达标，是否仍需填报提前批志愿？,262,['高考学考_秋考']
达到分数线的考生在完成公安院校相关测试后，是否需要将志愿填报在本科批次以外的特定批次？,262,['高考学考_秋考']
报考公安院校的考生是否必须填写提前批志愿，即使其他条件均已合格？,262,['高考学考_秋考']
公安院校录取结果查询的途径是什么？,263,['高考学考_秋考']
在哪里能查到上海公安院校的录取信息？,263,['高考学考_秋考']
如何通过上海招考热线网站查询公安院校录取结果？,263,['高考学考_秋考']
填报本科提前批次后，是否允许同时填报艺体类批次？,264,['高考学考_秋考']
本科提前批和艺体类批次可以一起报考吗？,264,"['高考学考_秋考', '高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
报考提前批次后，艺体类批次志愿还能填报吗？,264,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
如果对报考公安院校的体检结果有异议，应该向哪个部门申请复核？,265,['高考学考_秋考']
考试院是否处理部队院校录取结果的申诉？,265,['高考学考_秋考']
政审不通过的话，应该找哪个单位进行申诉？,265,"['研考成考_研究生招生考试', '研考成考_成人高考']"
"""如何确认提前批次的录取分数线？""",266,['高考学考_秋考']
"""如果家长对提前批录取结果有异议，应该怎么做？""",266,['高考学考_秋考']
"""提前批次的录取结果由谁最终决定？""",266,['高考学考_秋考']
本市本科艺体类专业批次划分及志愿结构是怎样的？,267,['高考学考_秋考']
本科艺体类甲批次顺序段和平行段分别设置多少个志愿？,267,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
艺体类平行段每个院校专业组志愿包含几个专业选项和调剂选项？,267,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
根据2024年的规定，如何界定一个专业是否属于艺术类？,268,['高考学考_艺术类统一考试']
高等职业教育中哪些专业类别被纳入艺术类专业的范围？,268,['高考学考_艺术类统一考试']
确定艺术类专业的划分需要参考哪些官方目录？,268,['高考学考_艺术类统一考试']
本科艺体类批次的招录流程是怎样的？,269,['高考学考_艺术类统一考试']
甲批次和乙批次的录取顺序是如何排列的？,269,['高考学考_春考']
本科艺体类录取中，各阶段的先后顺序是什么？,269,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
艺术类专业录取的主要依据有哪些因素？,270,['高考学考_艺术类统一考试']
使用省级统考成绩的艺术类专业如何确定录取结果？,270,['高考学考_艺术类统一考试']
高校组织校考的艺术类专业需要满足哪些条件才能被录取？,270,['高考学考_艺术类统一考试']
艺术类甲批次顺序段高校对考生有哪些具体的招生要求？,271,['高考学考_艺术类统一考试']
未参加校考的学生能否填报上海艺术类顺序段的31所高校志愿？,271,['高考学考_艺术类统一考试']
如何判断自己是否符合艺术类顺序段志愿的填报条件？,271,['高考学考_艺术类统一考试']
如何确认自己是否符合某所艺术类高校的顺序志愿填报条件？,272,['高考学考_艺术类统一考试']
填报艺术类顺序段志愿时是否需要校考成绩或统考合格证？,272,['高考学考_艺术类统一考试']
如果文化分低于本科线，应该怎样了解能否报考艺术类院校？,272,['高考学考_艺术类统一考试']
如果艺术生的文化分数未达到本科控制线，哪些艺体类志愿无法填报？,273,['高考学考_艺术类统一考试']
文化分不够艺术类本科线，是否不能填报乙批次顺序段和平行段的志愿？,273,['高考学考_艺术类统一考试']
2024年艺术类考生文化分不达标，甲批次平行段和乙批次各段志愿还能填报吗？,273,['高考学考_艺术类统一考试']
未参加艺术统考的考生是否允许填报平行段艺术类志愿？,274,['高考学考_艺术类统一考试']
艺术类平行志愿的填报是否需要考生通过统考资格？,274,['高考学考_艺术类统一考试']
如果艺术统考缺考，还能否参与平行批次的艺术类专业录取？,274,['高考学考_艺术类统一考试']
填报艺术类平行志愿需要满足哪些条件？,275,['高考学考_艺术类统一考试']
艺术类平行段的志愿填报对考生成绩有什么要求？,275,['高考学考_艺术类统一考试']
报考艺术类平行志愿的考生需要达到哪些成绩标准？,275,['高考学考_艺术类统一考试']
哪里能查询2024年艺术类统考的合格分数线？,276,['高考学考_艺术类统一考试']
如何确认今年的艺术统考是否通过？,276,['高考学考_艺术类统一考试']
上海艺术类统考合格标准的最新信息发布在哪个平台？,276,['高考学考_艺术类统一考试']
2024年本市艺术类平行段专业的投档成绩如何计算？,277,['高考学考_艺术类统一考试']
艺术类平行段录取中高考文化课和统考成绩的占比分别是多少？,277,['高考学考_艺术类统一考试']
考生需要满足哪些条件才能参加本市艺术类平行段的投档录取？,277,['高考学考_艺术类统一考试']
未通过体育统考的考生能否报考体育类平行段志愿？,278,['高考学考_体育类统一考试']
没有体育统考成绩的学生是否有资格填报体育类专业志愿？,278,['高考学考_体育类统一考试']
如果考生未参加体育统考，是否允许填报体育类院校的平行志愿？,278,['高考学考_体育类统一考试']
"""艺体类统考合格后，考生还能选择非艺体类专业吗？""",279,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
"""如果通过了艺体类专业考试，是否必须填报艺体类本科志愿？""",279,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
"""达到艺体专业合格线的考生，能否放弃填报艺体类专业？""",279,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
填报本科艺体类批次后，能否同时报考本科提前批次？,280,['高考学考_秋考']
报考艺体类的考生还能填报哪些本科批次志愿？,280,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
本科提前批次志愿是否允许与艺体类批次志愿一起填报？,280,['高考学考_秋考']
本科艺体类甲批次顺序段招生的院校类型包括哪些？,281,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
哪些机构批准的院校会在本科艺体类甲批次顺序段进行招生？,281,['高考学考_秋考']
如何查询本科艺体类甲批次顺序段的具体招生院校名单？,281,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
如何查询上海本科艺体类甲批次平行段招生的院校名单？,282,['高考学考_秋考']
哪些艺体类院校是通过统考在甲批次平行段进行本科招生的？,282,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
上海市本科艺体类甲批次平行段的招生院校信息应从哪里获取？,282,['高考学考_秋考']
本科艺体类批次平行段同分考生的录取排序规则是什么？,283,['高考学考_秋考']
艺体类考生在平行志愿投档时，若分数相同，如何确定录取优先级？,283,['高考学考_秋考']
艺体类同分考生的录取顺序依据哪些指标依次比较？,283,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
2024年艺体类甲批次平行段投档分数线何时公布？,284,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
在哪里可以查到上海艺体类平行段院校专业组的投档分数线？,284,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
2024年秋考艺体类平行段投档信息具体发布时间是哪一天？,284,['高考学考_秋考']
乙批次高校的缺额计划信息会通过什么渠道公布？,285,['高考学考_秋考']
考生填报本科艺体类乙批次时，需参考哪些成绩数据？,285,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
如何了解本科艺体类乙批次可填报志愿的院校计划和考生成绩要求？,285,['高考学考_艺术类统一考试']
艺体类乙批次顺序段和平行段录取结果在哪里查询？,286,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
如何查看上海艺体类乙批次的录取结果？,286,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
上海艺体类乙批次录取结果查询的官方网站是什么？,286,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
如果被提前批院校录取，还能继续参加普通批次的志愿录取吗？,287,['高考学考_秋考']
考生被某一志愿录取后，后续填报的其他志愿是否自动作废？,287,['高考学考_秋考']
一旦被已填报的院校录取，还能选择放弃并参加后面批次的录取吗？,287,['高考学考_秋考']
报考上海体育类专业需要满足哪些资格要求？,288,['高考学考_体育类统一考试']
色弱或色盲考生能否报考体育教育等专业？,288,['高考学考_体育类统一考试']
填报体育类专业必须参加哪些考试并达到怎样的文化成绩标准？,288,['高考学考_体育类统一考试']
如果已经填报了本科提前批志愿，还能再报体育类本科专业吗？,289,"['高考学考_秋考', '高考学考_体育类统一考试']"
体育类本科和本科提前批志愿可以同时填报吗？,289,"['高考学考_体育类统一考试', '高考学考_秋考']"
考生在申请体育类本科后，是否允许继续申请本科提前批？,289,"['高考学考_体育类统一考试', '高考学考_秋考']"
如果考生已被提前批次录取，是否还能被后续的本科普通批次院校录取？,290,['高考学考_秋考']
被第一批次志愿录取后，后续填报的其他批次志愿是否还有效？,290,['高考学考_秋考']
如果被艺术类专业录取，后续的普通类本科批次还会进行录取吗？,290,"['高考学考_艺术类统一考试', '高考学考_秋考']"
体育单招的报考流程需要联系哪里？,291,['高考学考_体育类统一考试']
报考体育单招是否需要直接联系高校？,291,['高考学考_体育类统一考试']
体育单招的志愿填报由谁负责处理？,291,['高考学考_体育类统一考试']
**哪些考生有资格填报上海市2024年的地方农村专项计划？**,292,['高考学考_秋考']
**地方农村专项计划批次在高考录取中处于什么时间位置？**,292,['高考学考_秋考']
**上海市地方农村专项计划的投档比例是多少？**,292,['高考学考_秋考']
农村专项计划招生政策2025年会继续实施吗？,293,['高考学考_秋考']
关于2025年农村专项计划的招生公告出来了吗？,293,['高考学考_秋考']
2025年的农村专项招生是否有最新通知？,293,['高考学考_秋考']
高校高水平运动队的培养目标是什么？,294,['高考学考_体育类统一考试']
高水平运动队招生的主要目的是什么？,294,['高考学考_体育类统一考试']
哪些重大体育赛事会受益于高校高水平运动队的人才输送？,294,['高考学考_体育类统一考试']
体育类考生和高水平运动队考生在录取后就读的专业类型有什么不同？,295,['高考学考_体育类统一考试']
报考体育类专业和高水平运动队的考生在考试要求上有哪些区别？,295,['高考学考_体育类统一考试']
高水平运动队资格考生在高考文化成绩上的录取标准是什么？,295,['高考学考_体育类统一考试']
从2027年起报考高水平运动队需要满足哪些新增条件？,296,['高考学考_体育类统一考试']
高水平运动队报考是否要求全国性比赛名次？,296,['高考学考_体育类统一考试']
哪些人具备报考高水平运动队的运动员等级资格？,296,['高考学考_体育类统一考试']
高水平运动队的体育统考从哪一年开始由全国统一组织？,297,['高考学考_体育类统一考试']
高校是否还需要自行组织高水平运动队的体育专项测试？,297,['高考学考_体育类统一考试']
2024年后高水平运动队的体育测试由哪个机构负责实施？,297,['高考学考_体育类统一考试']
报考高校高水平运动队的具体流程是怎样的？,298,['高考学考_体育类统一考试']
高校如何根据体育测试成绩和高考成绩确定高水平运动队录取名单？,298,['高考学考_秋考']
高水平运动队考生在文化课成绩上需满足哪些条件才能被普通专业录取？,298,['高考学考_体育类统一考试']
未通过高水平运动员测试的考生可以报考特殊类型批次吗？,299,['高考学考_体育类统一考试']
特殊类型批次的志愿填报是否要求考生必须参加过运动员测试？,299,['高考学考_体育类统一考试']
如果考生未参加任何高水平运动员测试，是否具备填报特殊类型批次的资格？,299,['高考学考_体育类统一考试']
哪些学生具备2024年高校保送资格？,300,[]
保送生是否需要参加全国统一高考？,300,['高考学考_秋考']
公安英烈子女的保送院校类型有什么限制？,300,['高考学考_秋考']
学科奥林匹克竞赛国家集训队成员的保送生会被录取到哪些类型的专业？,301,[]
2024年后高校招收的外国语中学保送生在专业选择上有哪些具体限制？,301,[]
保送至小语种相关专业的学生是否允许转专业到其他非语言类专业？,301,[]
保送生报名的具体流程包括哪些环节？,302,[]
保送生申请需要通过哪些部门的审核和公示？,302,[]
已被确认保送录取的学生能否参加普通高考？,302,['高考学考_秋考']
特殊类型招生投档的录取结果如何查询？,303,['高考学考_专科自主招生']
在哪里可以查到上海特殊类型招生的录取信息？,303,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试', '高考学考_三校生高考', '高考学考_专科自主招生']"
上海考生通过什么途径查询特殊类型招生录取结果？,303,['高考学考_秋考']
如何查询本科普通批次的24个平行志愿录取结果？,304,['高考学考_秋考']
上海考生在哪里能查到普通批次的平行志愿录取信息？,304,['高考学考_秋考']
本科普通批次录取结果应该通过哪个网站查询？,304,['高考学考_秋考']
本科普通批次同分考生的录取排序规则是怎样的？,305,['高考学考_秋考']
如果两个考生高考总分相同，会按照什么顺序比较他们的单科成绩来决定录取？,305,['高考学考_秋考']
同分考生在投档时，如何确定谁先被录取？,305,['高考学考_秋考']
如果考生在本科普通批次录取结果中未被录取，是否还有后续的录取机会？,306,['高考学考_秋考']
未被本科普通批次志愿录取是否表示考生已退档？,306,['高考学考_秋考']
考生分数过线但未查到录取结果，接下来应该怎么做？,306,['高考学考_秋考']
如何查询2023年第一批征求志愿未招满的院校名单？,307,['高考学考_秋考']
上海考生在哪里能查到第一批未完成招生计划的征集志愿信息？,307,['高考学考_秋考']
2023年高考第一批未招满的院校征求志愿信息应通过什么途径获取？,307,['高考学考_秋考']
本科普通批次第一次和第二次征求志愿的填报时间及录取结果查询的具体日期是什么？,308,['高考学考_秋考']
未被录取的考生应通过哪个渠道了解本科征求志愿的填报和录取结果查询时间？,308,['高考学考_秋考']
2024年秋考本科第一次征求志愿和第二次征求志愿的填报与查询分别安排在几月几日？,308,['高考学考_秋考']
高考分数低于本科线还能被本科院校降分录取吗？,309,['高考学考_秋考']
本科第二次征求志愿是否有降分政策？,309,['高考学考_秋考']
如何查询本科降分录取的缺额计划和分数线？,309,['高考学考_秋考']
专科志愿的填报时间是在本科录取之后吗？,310,['高考学考_专科自主招生']
填报专科志愿需要等到本科录取完全结束吗？,310,['高考学考_专科自主招生']
如何查询上海专科志愿填报的具体安排？,310,['高考学考_专科自主招生']
专科的录取批次分为哪几种类型？,311,['高考学考_专科自主招生']
专科招生包含哪些批次？,311,['高考学考_专科自主招生']
专科录取被划分为哪几个阶段？,311,['高考学考_专科自主招生']
专科各批次分别可以填报几个志愿？,312,['高考学考_专科自主招生']
专科提前批、艺体类批次和普通批次的志愿数量各是多少？,312,['高考学考_秋考']
不同专科批次的志愿设置数量分别是多少？,312,['高考学考_专科自主招生']
"""专科志愿每个院校最多能填几个专业？""",313,['高考学考_专科自主招生']
"""如果我想报的专科专业超过6个怎么办？""",313,['高考学考_专科自主招生']
"""愿否专业调剂的选项在专科志愿填报中有什么作用？""",313,['高考学考_专科自主招生']
本科未被录取的考生和直接报考专科的考生在专科志愿录取时会被区别对待吗？,314,['高考学考_专科自主招生']
填报专科志愿时，录取分数是按哪些科目计算的？,314,['高考学考_专科自主招生']
考生报考专科院校时，学业水平等级考试的分数是否会影响录取分数？,314,['高考学考_高中学业水平考试']
上海专科提前批次的学校名单在哪里能查到？,315,['高考学考_专科自主招生']
如何查询上海市专科提前批次招生的院校？,315,['高考学考_秋考']
上海市专科提前批的招生院校信息在哪个官方资料里？,315,['高考学考_专科自主招生']
如何查询专科提前批次是否需要面试或校测？,316,['高考学考_专科自主招生']
专科提前批次的校测信息应该去哪里查找？,316,['高考学考_专科自主招生']
哪里能查到专科提前批次院校的招生面试要求？,316,['高考学考_专科自主招生']
哪里可以查到专科提前批次、艺体批和普通批次的录取结果时间？,317,['高考学考_秋考']
如何确定专科各批次录取结果的查询日期？,317,['高考学考_专科自主招生']
专科批次录取结果的查询时间以哪个渠道发布的信息为准？,317,['高考学考_专科自主招生']
如果专科提前批次没被录取，还能参加该批次的征求志愿吗？,318,['高考学考_专科自主招生']
专科提前批次没被录取的情况下，还有补报的机会吗？,318,['高考学考_专科自主招生']
未被专科提前批次录取的学生是否还有机会参加征求志愿？,318,['高考学考_专科自主招生']
专科提前批次和艺体批次志愿能一起填报吗？,319,['高考学考_秋考']
如果填了专科提前批，还能报艺体专科吗？,319,['高考学考_秋考']
同一张志愿表里能同时选专科提前批和艺体批吗？,319,['高考学考_秋考']
填报专科艺体类志愿是否必须参加专业统考？,320,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
没有参加艺体类统考或校考的考生能否填报专科艺体类批次志愿？,320,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
报考专科艺体类批次需要满足哪些考试要求？,320,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
专科艺体类同分考生的排序规则是什么？,321,"['高考学考_艺术类统一考试', '高考学考_体育类统一考试']"
